DATE,ENGAGEMENTS,,,FOLLOWS,,,IMPRESSIONS,,,REACH,,,USERS,PAGEVIEWS,Engagements (30-Day Rolling Average),,,Followers,,,,Impressions (30-Day Rolling Average),,,Reach (30-Day Rolling Average),,,USERS (30-day Rolling Average),PAGEVIEWS (30-day Rolling Average),,Website Visitors,Website Pageviews,Social Reach,Social Engagements,New Followers
,FB,LI,INSTA,FB,LI,INSTA,FB,LI,INSTA,FB,LI,INSTA,WEBSITE,WEBSITE,FB,LI,INSTA,FB,LI,INSTA,Total,FB,LI,INSTA,FB,LI,INSTA,WEBSITE,WEBSITE,,"95,022","275,641","571,000","19,152","1,194"
1/1/2024,0,,,1,,,,,,2228,,109,261,412,,,,"7,255","3,784",,,,,,,,,,,,,,,,
1/2/2024,33,,,1,,,,,,2096,,88,638,1563,,,,"7,256","3,784",,,,,,,,,,,,,,,,
1/3/2024,58,,,1,,,,,,2110,,95,635,1666,,,,"7,257","3,784",,,,,,,,,,,,,,,,
1/4/2024,27,,,1,,,,,,1877,,94,630,1462,,,,"7,258","3,784",,,,,,,,,,,,,,,,
1/5/2024,47,,,0,,,,,,1885,,84,857,1829,,,,"7,259","3,784",,,,,,,,,,,,,,,,
1/6/2024,32,,,0,,,,,,1110,,86,274,521,,,,"7,259","3,784",,,,,,,,,,,,,,,,
1/7/2024,14,,,4,,,,,,1145,,67,312,554,,,,"7,259","3,784",,,,,,,,,,,,,,,,
1/8/2024,24,,,3,,,,,,850,,77,686,1623,,,,"7,263","3,784",,,,,,,,,,,,,,,,
1/9/2024,98,,,2,,,,,,1370,,88,747,1773,,,,"7,266","3,784",,,,,,,,,,,,,,,,
1/10/2024,47,,,0,,,,,,1503,,77,812,2599,,,,"7,268","3,784",,,,,,,,,,,,,,,,
1/11/2024,664,,,4,,,,,,3255,,87,807,3396,,,,"7,268","3,784",,,,,,,,,,,,,,,,
1/12/2024,519,,,10,,,,,,3235,,76,798,2048,,,,"7,272","3,784",,,,,,,,,,,,,,,,
1/13/2024,106,,,2,,,,,,1406,,73,272,489,,,,"7,282","3,784",,,,,,,,,,,,,,,,
1/14/2024,35,,,1,,,,,,775,,60,303,573,,,,"7,284","3,784",,,,,,,,,,,,,,,,
1/15/2024,155,,,5,,,,,,3054,,81,391,791,,,,"7,285","3,784",,,,,,,,,,,,,,,,
1/16/2024,102,,,12,,,,,,3159,,98,664,1642,,,,"7,290","3,784",,,,,,,,,,,,,,,,
1/17/2024,115,,,11,,,,,,2504,,98,647,1731,,,,"7,302","3,784",,,,,,,,,,,,,,,,
1/18/2024,194,,,4,,,,,,2580,,97,778,1887,,,,"7,313","3,784",,,,,,,,,,,,,,,,
1/19/2024,88,,,7,,,,,,2261,,77,447,932,,,,"7,317","3,784",,,,,,,,,,,,,,,,
1/20/2024,44,,,3,,,,,,1673,,67,293,462,,,,"7,324","3,784",,,,,,,,,,,,,,,,
1/21/2024,29,,,4,,,,,,1339,,69,329,762,,,,"7,327","3,784",,,,,,,,,,,,,,,,
1/22/2024,304,,,6,,,,,,3815,,75,725,1617,,,,"7,331","3,784",,,,,,,,,,,,,,,,
1/23/2024,385,,,3,,,,,,2501,,81,828,1822,,,,"7,337","3,784",,,,,,,,,,,,,,,,
1/24/2024,188,,,3,,,,,,2859,,90,772,1919,,,,"7,340","3,784",,,,,,,,,,,,,,,,
1/25/2024,231,,,5,,,,,,2875,,91,838,1881,,,,"7,343","3,784",,,,,,,,,,,,,,,,
1/26/2024,168,,,0,,,,,,2474,,80,628,1771,,,,"7,348","3,784",,,,,,,,,,,,,,,,
1/27/2024,31,,,0,,,,,,1422,,80,333,629,,,,"7,348","3,784",,,,,,,,,,,,,,,,
1/28/2024,31,,,0,,,,,,1249,,74,413,720,,,,"7,348","3,784",,,,,,2093.214286,,82.82142857,575.6428571,1395.5,,,,,,
1/29/2024,66,,,1,,,,,,2839,,75,810,1992,,,,"7,348","3,784",,,,,,2118.931034,,82.55172414,583.7241379,1416.068966,,,,,,
1/30/2024,291,,,3,,,,,,3968,,83,791,1878,139.6,,,"7,349","3,784",,,,,,2180.566667,,82.56666667,590.6333333,1431.466667,,,,,,
1/31/2024,135,,,1,,,,,,4157,,112,717,1627,142.0333333,,,"7,352","3,784",,,,,,2244.866667,,82.66666667,605.8333333,1471.966667,,,,,,
2/1/2024,101,,,2,,,,,,4349,,104,698,1504,144.3,,,"7,353","3,784",,,,,,2319.966667,,83.2,607.8333333,1470,,,,,,
2/2/2024,129,,,0,,,,,,4039,,105,669,1481,146.6666667,,,"7,355","3,784",,,,,,2384.266667,,83.53333333,608.9666667,1463.833333,,,,,,
2/3/2024,92,,,0,,,,,,3666,,112,290,592,148.8333333,,,"7,355","3,784",,,,,,2443.9,,84.13333333,597.6333333,1434.833333,,,,,,
