,Year to Date,3  Months,1 Month,,,,,,,
,,,,,,,,,,
Total Emails Sent,,,,,,,,,,
Number of Campaigns,26,17,5,,,,,,,
Total Emails Sent,12522,6839,1842,,,,,,,
Total Emails Delivered,11975,6531,1766,,,,,,,
Open Rate,52%,55%,58%,,,,,,,
Click Rate,13%,19%,22%,,,,,,,
,,,,,,,,,,
,All Time,,,,,,,,,
HR,,,,,,,,,,
Number of Campaigns,11,,,,,,,,,
Total Emails Sent,,,,,,,,,,
Open Rate (average),59.64,,,,,,,,,
Click Rate (average),21.99,,,,,,,,,
,,,,,,,,,,
Newsletters,,,,,,,,,,
Number of Campaigns,7,,,,,,,,,
Total Emails Sent,,,,,,,,,,
Open Rate (average),42.9,,,,,,,,,
Click Rate (average),2.7,,,,,,,,,
,,,,,,,,,,
Solar for All,,,,,,,,,,
Number of Campaigns,6,,,,,,,,,
Total Emails Sent,,,,,,,,,,
Open Rate (average),66.7,,,,,,,,,
Click Rate (average),19.5,,,,,,,,,
,,,,,,,,,,
Press Releases,,,,,,,,,,
Number of Campaigns,24,,,,,,,,,
Total Emails Sent,,,,,,,,,,
Open Rate (average),59.7,,,,,,,,,
Click Rate (average),22.3,,,,,,,,,
,,,,,,,,,,
Contact Growth,,,,,,,,,,
New Subscribers: Virginia Energy Updates,669,652,109,,,,,,,
Unsubscribed,16,11,3,,,,,,,
Total Contacts,,,2166,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Email Campaigns Sent May 22 2022 - May 20 2025,,,,,,,,,,
Campaign Name,Open Rate,Click Rate,,,,,,,,
"Untitled Campaign Created 2024/09/24, 2:00:17 PM",58,0,,,,,,,,
Press Release - VCEIB Launch Announcement,39,2,,,,,,,,
Save The Date - Ecotourism in Nature's Wonderland.,51,0,,,,,,,,
HR - Walking Group Team,100,100,,,,,,,,
News Clips - 09/23-09/27 ,58,3,,,,,,,,
Resend of Save the Date Eco,54,0,,,,,,,,
Check Presentation Route 718 Expansion Project - Resend,46,0,,,,,,,,
Press Release - Utilities Expansion,39,1,,,,,,,,
Newsletter - October 2024,41,2,,,,,,,,
Press Release - Ecotourism,42,1,,,,,,,,
HR - Walking Group Team Week 8/4,100,100,,,,,,,,
Press Release - Mining Fatality at Buchanan #1,56,17,,,,,,,,
HR - Hiring Announcements,45,5,,,,,,,,
Solar For All - Update 10.10.24,64,26,,,,,,,,
Press Release - Navy Nuclear Announcement,37,1,,,,,,,,
News Clips - 10/07-10/11,52,2,,,,,,,,
Press Release - Gas and Oil Industry Awards,38,1,,,,,,,,
HR - Hiring Announcements - 10/18,44,6,,,,,,,,
News Clips - 10/14-10/18,49,1,,,,,,,,
Solar For All - Update 10.10.24 (Copy 1),78,48,,,,,,,,
Press Release - Coal Mine Safety Awards,39,1,,,,,,,,
HR - Hiring Announcements - 10/25,42,4,,,,,,,,
News Clips - 10/21-10/25,46,2,,,,,,,,
Press Release - VGRIP Round 2,37,2,,,,,,,,
Newsletter - November 2024,43,2,,,,,,,,
News Clips - 10/28-11/01,45,3,,,,,,,,
Press Release - EECBG Subgrant Announcement,41,2,,,,,,,,
HR - Walking Group Team Week 11/6,100,100,,,,,,,,
Press Release - VGRIP Round 2 (UtCiCo),28,10,,,,,,,,
Veteran's Day,50,1,,,,,,,,
News Clips - 11/04-11/08,43,3,,,,,,,,
HR - Hiring Announcements - 11/08,46,10,,,,,,,,
HR - Walking Group Team Week 11/12,100,100,,,,,,,,
Press Release - Geologists Conducting Field Research,33,2,,,,,,,,
Press Release - Geologists Conducting Field Research Sheriff's Department,11,0,,,,,,,,
Virginia Energy Update (Internal),100,100,,,,,,,,
"Untitled Email Created 2024/11/15, 12:14:07 PM EST",100,0,,,,,,,,
HR - Walking Group Team Week 11/18,100,100,,,,,,,,
Press Release - EVCAP,35,1,,,,,,,,
HR - Hiring Announcements - 11\22,47,7,,,,,,,,
News Clips - 11/18-11/22,47,3,,,,,,,,
Press Release - VPIP Round 1,35,1,,,,,,,,
Reminder Email for Leia 2,100,100,,,,,,,,
Press Release - VCEIB Hydrogen & Carbon,43,2,,,,,,,,
Newsletter - December 2024 (2),41,3,,,,,,,,
Press Release - VPIP 2,41,2,,,,,,,,
Press Release - VCEIB FUSION ANNOUNCEMENT,39,1,,,,,,,,
Solar For All - Update December 2024,64,8,,,,,,,,
Newsletter - End of December,44,2,,,,,,,,
Solar For All - Meeting Postponed,62,0,,,,,,,,
Press Release - BIL Announcement,41,0,,,,,,,,
Economic Impact Report,44,5,,,,,,,,
Press Release - BIL Announcement 1,100,0,,,,,,,,
Virginia Energy Update (Internal) - Jan 2025,100,100,,,,,,,,
"Press Release - VCEIB Director Announcement, SEFI",46,1,,,,,,,,
Press Release - EECBG Round 2,44,1,,,,,,,,
Solar For All - Update February 2024,66,10,,,,,,,,
Minutes of Movements Initial Email,100,100,,,,,,,,
DGMR NEWSLETTER Star,53,15,,,,,,,,
Follow Us on Socials,50,1,,,,,,,,
Heart Health Email #2,100,100,,,,,,,,
Nutrition Email,100,100,,,,,,,,
Lunch and Learn,100,0,,,,,,,,
Press Release - EECBG Round 3,41,2,,,,,,,,
Newsletter - March,42,3,,,,,,,,
Lunch and Learn-Cville,100,0,,,,,,,,
Lunch and Learn-bSG,100,0,,,,,,,,
Press Release - GMU VCEIB,41,2,,,,,,,,
Current Connection Newsletter,61,7,,,,,,,,
Newsletter - April,45,4,,,,,,,,
Mental Health Email,100,100,,,,,,,,
Virginia Energy Update (Internal) - April 2025,58,6,,,,,,,,
Solar For All - RFP,66,25,,,,,,,,
HR EMAIL,100,100,,,,,,,,
Newsletter - May,44,3,,,,,,,,
Press Release - ArborDay,45,1,,,,,,,,
PageUp Performance Objectives,100,100,,,,,,,,
Director Davis - Public Service Week,72,41,,,,,,,,
