Post ID,Title,Publish time,Post type,Impressions,Reach,"Reactions, Comments and Shares",Reactions,Comments,Shares,Total clicks,Matched Audience Targeting Consumption (Photo Click),Other Clicks,Link Clicks
653959720100132,"Congratulations to Chris Hartman, Eric Lewis and Josh McCartney with Iron Senergy Cumberland Mine for winning second place in the First Aid competition at the first annual Overmountain Mine Rescue Competition co-hosted by #VirginiaEnergy and National Mine Rescue Association - NMRA Post 7. 

Pictured (L to R):  Dave Goad, NMA Post 7 President, Chris Hartman, Eric Lewis, Josh McCartney and Randy Moore, Virginia Energy Director of Coal Programs.",7/25/2023,Photos,4549,3893,162,128,29,5,354,144,210,
673429981486439,It's #ThrowbackThursday! This is a map showing the underground mining taking place in the late 1800's. The Bath House in the bottom right corner is where the Exhibition Coal Mine Museum is located. The map was hand drawn and painted! #VirginiaEnergy,8/31/2023,Photos,1021,977,13,12,0,1,27,23,4,
673372638158840,"#VirginiaEnergy and the Virginia Transportation Construction Alliance congratulate all of those presented an Individual Safety Award at Frazier Quarry. It shows the miners' and the operator's commitment to safety to achieve these milestones.

Pictured L to R: front row: Mike Frazier, middle row: Ronald Foley, Charles “Wayne” Foltz & Darryl Clark, back row: David Zirk, Rob Lanham, Alvin Brubaker & Willie Cochran",8/31/2023,Photos,670,613,15,12,0,3,8,5,3,
673316314831139,"Today, #VirginiaEnergy will be a featured exhibitor at the 2023 Virginia Solar Summit Summer Shindig starting at 12:15 p.m. Make sure to register and also visit our booth at this event. 

Register here: https://ow.ly/OWUh50PG6u1",8/31/2023,Photos,445,412,1,1,0,0,4,1,3,
673272001502237,#VirginiaEnergy is #hiring a Compliance/Assistance Specialist! Be sure to apply by September 18th here: https://ow.ly/Hmu150PFZ3G,8/31/2023,Photos,357,329,2,1,0,1,11,2,1,8
672913188204785,"#VirginiaEnergy and the Virginia Transportation Construction Alliance congratulate Darryl Clark for working 15 years without a lost time injury. Mr. Clark works as a Foreman and Equipment Operator at Frazier Quarry.
Pictured L to R: Rob Lanham, Darryl Clark and Willie Cochran",8/30/2023,Photos,1028,990,5,4,0,1,17,8,9,
672895654873205,"Tomorrow, Virginia Energy will be a featured exhibitor at the 2023 Virginia Solar Summit Summer Shindig starting at 12:15 p.m. Make sure to register and also visit our booth at this event. 

Register here: https://ow.ly/OWUh50PG6u1",8/30/2023,Photos,433,406,0,0,0,0,2,2,,
672767891552648,This week's #WildlifeWednesday is a wild turkey found near Knox creek 🦃. #Didyouknow that turkeys can run as fast as 25 miles per hour and even fly short distances? Talk about a bird on a mission! #VirginiaEnergy,8/30/2023,Photos,460,434,7,7,0,0,3,3,,
672438898252214,#VirginiaEnergy is #hiring an Abandoned Mine Land Design Engineer! Be sure to apply by September 19th here: https://ow.ly/AOaz50PFFLT,8/29/2023,Photos,244,224,2,1,0,1,5,1,1,3
672421364920634,"Check out this trilobite fossil #VirginiaEnergy geologists found at a slate quarry in Buckingham County. It's an extinct marine arthropod, like a crab, that lived at least 400 million years ago.",8/29/2023,Photos,861,816,9,7,0,2,7,7,,
672361384926632,#VirginiaEnergy is accepting public comment today in person on future Abandoned Mine Land projects that could be completed with funding received from the Bipartisan Infrastructure Law (BIL). Learn more here: https://ow.ly/bTQR50Pv4gC,8/29/2023,Photos,200,182,0,0,0,0,0,,,
672317781597659,"#VirginiaEnergy and the Virginia Transportation Construction Alliance congratulate Ronald Foley for working 15 years without a lost time injury. Mr. Foley works as an Equipment Operator at Frazier Quarry.
Pictured L to R: Rob Lanham, Ronald Foley and Willie Cochran",8/29/2023,Photos,961,918,8,7,0,1,1,,1,
671947081634729,"On this #MappingMonday we are highlighting an area at the boundary between the Coastal Plain and the Piedmont called the fall zone. This #geology #map highlights rocks that have changed due to heat and pressure, also known as metamorphic rocks. #VirginiaEnergy",8/28/2023,Photos,2176,2049,36,31,2,3,46,41,5,
671938754968895,#VirginiaEnergy is accepting public comment in person on future Abandoned Mine Land projects that could be completed with funding received from the Bipartisan Infrastructure Law (BIL). Learn more here: https://ow.ly/bTQR50Pv4gC,8/28/2023,Photos,226,203,1,0,0,1,0,,,
671776844985086,Join us for this week's #MineSafetyMinute and learn about ventilation practices in underground coal mines from #VirginiaEnergy's Andy Sawyers.,8/28/2023,Videos,215,189,1,1,0,0,1,,1,
671299908366113,"#VirginiaEnergy and the Virginia Transportation Construction Alliance congratulate Charles ""Wayne"" Foltz for working 20 years without a lost time injury. Mr. Foltz works as an Equipment Operator at Frazier Quarry.
Pictured L to R: Rob Lanham, Charles ""Wayne"" Foltz and Willie Cochran",8/27/2023,Photos,2160,2147,17,13,1,3,19,8,11,
670770775085693,"Our shining #SaturdaySpotlight is on Rabita Banee, an Energy Policy Analyst at #VirginiaEnergy. Her job includes managing and supporting the energy policy and plans in the #Commonwealth. Rabita also closely follows any energy and utility issues that may impact the energy future of Virginia. A native of Bangladesh, Rabita currently lives in Richmond. She loves traveling and exploring new places with her husband, working out and listening to classical Bengali music.",8/26/2023,Photos,246,223,8,8,0,0,0,,,
670394011790036,"#VirginiaEnergy is proud to co-host and sponsor the Virginia Clean Energy Summit again this year! Join us in Richmond on October 16-17 for an opportunity to learn more from a lineup of experts about the newest developments in clean energy industries. #VaCleanEnergySummit #VACES 

https://www.vacleanenergysummit.org/",8/25/2023,Photos,251,226,1,1,0,0,1,,1,
670374568458647,"#VirginiaEnergy and the Virginia Transportation Construction Alliance congratulate Alvin Lynn Brubaker for working 15 years without a lost time injury. Mr. Brubaker works as a Foreman and Equipment Operator at Frazier Quarry.
Pictured L to R: Rob Lanham, Alvin Lynn Brubaker and Willie Cochran",8/25/2023,Photos,1253,1187,16,12,2,2,15,8,7,
670264941802943,#DidYouKnow that all of the spent fuel produced by the U.S.'s commercial nuclear industry would fit in a single football field at a depth of less than 10 yards? Learn more here: https://ow.ly/JOQk50PErCm #VirginiaEnergy,8/25/2023,Photos,4768,2457,138,41,88,9,116,3,94,19
670212828474821,"On this #FieldworkFriday, check out this fault breccia found in the Rural Retreat mapping area by #VirginiaEnergy geologists Holly Mangum and Matt Heller. A breccia consists of cemented rock fragments, in this case limestone, created by fracturing during a tectonic event.",8/25/2023,Photos,1865,1698,32,28,1,3,55,36,19,
670193815143389,"In August of 2022, the Federal Inflation Reduction Act was signed into law, authorizing tax credits and rebate programs designed to help households across the country save money and energy. More information about these resources here: https://www.energy.virginia.gov/energy-efficiency/Inflation-Reduction-Act.shtml #VirginiaEnergy",8/25/2023,Photos,335,309,3,1,0,2,1,1,,
669896821839755,"In the 1960’s, #VirginiaEnergy geologists had access to a GE X-ray spectrometer when the main office was on the campus of UVA. The  X-ray spectrometer was used to analyze samples gathered in the field. Since this was before computers, the results were printed on paper. #ThrowbackThursday",8/24/2023,Photos,644,609,4,4,0,0,7,5,2,
669843291845108,"#VirginiaEnergy and Congressman Morgan Griffith presented a check to the Lonesome Pine Regional Industrial Facilities Authority for $2.5 million for the development of Project Thoroughbred. This grant is made possible by the Abandoned Mine Land Economic Revitalization program which is administered by the Office of Surface Mining Reclamation and Enforcement. Learn more here:  https://ow.ly/Hhhf50PCYKG Appalachian Grains Invest SWVA 

Pictured L to R: RIFA Board Chair Dane Poe Lenowisco Virginia Energy Deputy Director Will Clear, Virginia Energy Director of Coal Programs Randy Moore, Virginia Energy Abandoned Mine Land Program Director Lesa Baker, U.S. Representative Morgan Griffith, Invest SWVA Will Payne, Virginia Energy Manager of Economic Development Daniel Kestner and Virginia Energy Abandoned Mine Land Economic Revitalization Senior Project Manager Tim Ferguson",8/24/2023,Photos,291,264,9,7,1,1,18,7,11,
